Rank,Word,Frequency
1,the,22038615
2,be,12545825
3,and,10741073
4,of,10343885
5,a,10144200
6,in,6996437
7,to,6332195
8,have,4303955
9,to,3856916
10,it,3872477
11,I,3978265
12,that,3430996
13,for,3281454
14,you,3081151
15,he,2909254
16,with,2683014
17,on,2485306
18,do,2573587
19,say,1915138
20,this,1885366
21,they,1865580
22,at,1767638
23,but,1776767
24,we,1820935
25,his,1801708
26,from,1635914
27,that,1712406
28,not,1638830
29,n't,1619007
30,by,1490548
31,she,1484869
32,or,1379320
33,as,1296879
34,what,1181023
35,go,1151045
36,their,1083029
37,can,1022775
38,who,1018283
39,get,992596
40,if,933542
41,would,925515
42,her,969591
43,all,892102
44,my,919821
45,make,857168
46,about,874406
47,know,892535
48,will,824568
49,as,829018
50,up,795534
51,one,768232
52,time,764657
53,there,784528
54,year,769254
55,so,756550
56,think,772787
57,when,678626
58,which,685982
59,them,677870
60,some,674193
61,me,709623
62,people,691468
63,take,670745
64,out,678603
65,into,668172
66,just,677711
67,see,663645
68,him,677707
69,your,659622
70,come,628254
71,could,617932
72,now,605997
73,than,579757
74,like,568850
75,other,547799
76,how,538893
77,then,543977
78,its,539719
79,our,525107
80,two,511027
81,more,517536
82,these,513864
83,want,514972
84,way,470401
85,look,491707
86,first,463566
87,also,464606
88,new,435993
89,because,438539
90,day,432773
91,more,420170
92,use,420781
93,no,402222
94,man,409760
95,find,395203
96,here,412315
97,thing,400724
98,give,384503
99,many,385348
100,well,411776
