Time,Conc,AUC_fra,AUC_cum,C*T,AUMC,AUMC_cum 
h, ng/ml, h*ng/m,h*ng/mL,ng*h,h*h*ng/mL,h*h*ng/mL
0,0,0,0,0,0,0
0.033,874.33,29.01,29.01,28.85,0.48,0.48
0.167,836,114.59,143.6,139.61,11.29,11.76
0.33,664,122.25,265.85,219.12,29.24,41
0.67,640.67,219.84,485.69,427.32,108.93,149.93
1,551,198.41,684.1,551,162.89,312.82
2,377.67,464.33,1148.44,755.33,653.17,965.98
4,110.8,488.47,1636.9,443.2,1198.53,2164.52
6,62.27,173.07,1809.97,373.6,816.8,2981.32
8,48.53,110.8,1920.77,388.27,761.87,3743.18
12,26.47,150,2070.77,317.6,1411.73,5154.92
24,9.16,213.74,2284.51,219.76,3224.16,8379.08
