m-X,p-Y,P,Q,Es,X
H, H,0,0,1.24,7.46
F,H,0.13,0.35,0.78,7.52
H,F,0.15,-0.07,1.24,8.16
Cl,H,0.76,0.4,0.27,8.16
Cl,F,0.91,0.33,0.27,8.19
Br,H,0.94,0.41,0.08,8.3
I,H,1.15,0.36,-0.16,8.4
Me,H,0.51,-0.07,0,8.46
Br,F,1.09,0.34,0.08,8.57
H,Cl,0.7,0.11,1.24,8.68
Me,F,0.66,-0.14,0,8.82
H,Br,1.02,0.15,1.24,8.89
Cl,Cl,1.46,0.51,0.27,8.89
Br,Cl,1.64,0.52,0.08,8.92
Me,Cl,1.21,0.04,0,8.96
Cl,Br,1.78,0.55,0.27,9
Me,Br,1.53,0.08,0,9.22
H,I,1.26,0.14,1.24,9.25
H,Me,0.52,-0.31,1.24,9.3
Me,Me,1.03,-0.38,0,9.3
Br,Br,1.96,0.56,0.08,9.35
Br,Me,1.46,0.1,0.08,9.52
